Nome do Curso,Carga Horária,Data de Início,Horário,Link do Cronograma
PowerBI (nível iniciação),25 horas,03/04/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=663
PowerBI (nível iniciação),25 horas,26/04/2025,6ª das 19h45 às 22h45 e Sábados das 14h00 às 18h00,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=667
PowerBI (nível avançado),25 horas,03/05/2025,Sábados das 9h00 às 13h00,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=671
PowerBI (nível avançado),25 horas,14/04/2025,2ª e 4ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=630
Excel Avançado,25 horas,15/04/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=676
Fundamentos do desenvolvimento de modelos analíticos em Python,25 horas,12/04/2025,Sábados das 9h00 às 13h00,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=599
Microsoft Project,25 horas,02/04/2025,2ª e 4ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=612
Visualização de dados em Python,25 horas,27/03/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=598
Programação de scripts,25 horas,10/04/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=620
PowerBI,50 horas,26/03/2025,2ª e 4ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=577
Programação SQL,25 horas,03/04/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=654
Programação em Python,50 horas,14/04/2025,2ª e 4ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=669
Adobe PhotoShop,25 horas,03/04/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=643
Cibersegurança ativa,50 horas,28/04/2025,2ª e 4ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=675
Word Avançado,25 horas,01/04/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=614
Criação de Páginas Web,25 horas,06/05/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=626
Edição de Vídeo – Iniciação,25 horas,03/05/2025,Sábados das 09h00 às 13h00,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=668
Revit,50 horas,19/05/2025,"2ª, 4ª e 6ª das 19h45 às 22h45",https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=674
Excel – funcionalidades avançadas,25 horas,31/05/2025,Sábados das 09h00 às 13h00,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=658
Excel VBA,25 horas,31/03/2025,2ª e 4ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=616
Limpeza e transformação de dados em Python,25 horas,29/04/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=600
Apresentações gráficas (CANVA),25 horas,18/03/2025,3ª e 5ª das 19h45 às 22h45,https://secretaria.eisnt.com/cronogramaAccao.aspx?idAccao=651
